route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,road_id,is_wide_road,safety_index
평화로(3),경기도,파주시,경기도 파주시 탄현면 법흥리 1631-4,,,,,,0.68,1.5,,0,평화로(3)_파주시,0,0.037
평화로(2),경기도,파주시,경기도 파주시 야동동 96-2,,,,,,0.49,1.5,,0,평화로(2)_파주시,0,0.0364
평화로(1),경기도,파주시,경기도 파주시 탄현면 법흥리 1781,,,,,,0.91,2.0,,0,평화로(1)_파주시,1,0.0494
파주로(3),경기도,파주시,경기도 파주시 문발동 621-1,,,,,,0.9,3.0,,0,파주로(3)_파주시,1,0.0727
파주로(2),경기도,파주시,경기도 파주시 다율동 713-9,,,,,,3.73,1.5,,0,파주로(2)_파주시,0,0.0462
파주로(1),경기도,파주시,경기도 파주시 문발동 393-2,,,,,,0.28,3.0,,0,파주로(1)_파주시,1,0.0708
파발로,경기도,파주시,경기도 파주시 파주읍 파주리 299-4,,,,,,2.15,1.5,,0,파발로_파주시,0,0.0414
통일로,경기도,파주시,경기도 파주시 문산읍 선유리 919-5,,,,,,0.7,1.5,,0,통일로_파주시,0,0.0371
충현로,경기도,파주시,경기도 파주시 파주읍 봉서리 353-12,,,,,,4.57,1.5,,0,충현로_파주시,0,0.0487
초롱꽃로,경기도,파주시,경기도 파주시 동패동 1433,,,,,,2.87,1.5,,0,초롱꽃로_파주시,0,0.0436
초롱길(2),경기도,파주시,경기도 파주시 동패동 2169,,,,,,0.88,1.5,,0,초롱길(2)_파주시,0,0.0376
초롱길(1),경기도,파주시,경기도 파주시 동패동 2171,,,,,,0.93,1.5,,0,초롱길(1)_파주시,0,0.0378
청암로48번길,경기도,파주시,경기도 파주시 목동동 897,,,,,,0.44,1.5,,0,청암로48번길_파주시,0,0.0363
청암로17번길,경기도,파주시,경기도 파주시 목동동 926,,,,,,0.76,1.5,,0,청암로17번길_파주시,0,0.0373
청암로,경기도,파주시,경기도 파주시 다율동 1006,,,,,,3.94,1.5,,0,청암로_파주시,0,0.0468
청석로(4),경기도,파주시,경기도 파주시 동패동 1713,,,,,,2.82,2.0,,0,청석로(4)_파주시,1,0.0551
청석로(3),경기도,파주시,경기도 파주시 동패동 1711,,,,,,0.32,2.0,,0,청석로(3)_파주시,1,0.0476
청석로(2),경기도,파주시,경기도 파주시 동패동 1692,,,,,,0.66,2.0,,0,청석로(2)_파주시,1,0.0486
청석로(1),경기도,파주시,경기도 파주시 다율동 980-1,,,,,,1.5,2.0,,0,청석로(1)_파주시,1,0.0511
책향기로(4),경기도,파주시,경기도 파주시 상지석동 1660-2,,,,,,1.3,3.0,,0,책향기로(4)_파주시,1,0.0739
책향기로(3),경기도,파주시,경기도 파주시 상지석동 970-21,,,,,,0.76,2.0,,0,책향기로(3)_파주시,1,0.0489
책향기로(2),경기도,파주시,경기도 파주시 동패동 1748-3,,,,,,8.22,2.0,,0,책향기로(2)_파주시,1,0.0713
화랑로,서울특별시,성북구,서울특별시 성북구 석관동 375-29,,37.61460565,127.0657239,37.60626414,127.0483266,1.6,1.5,,0,화랑로_성북구,0,0.0398
종암로(동측),서울특별시,성북구,서울특별시 성북구 종암동 7-10,,37.59472384,127.0381204,37.60370101,127.0401283,1.3,1.6,,0,종암로(동측)_성북구,0,0.0412
종암로(서측),서울특별시,성북구,서울특별시 성북구 하월곡동 27-5,,37.60370101,127.0401283,37.59427959,127.0369007,1.3,1.6,,0,종암로(서측)_성북구,0,0.0412
양천로57길(서측),서울특별시,강서구,서울특별시 강서구 가양동 1478,,,,,,0.28,1.5,,1,양천로57길(서측)_강서구,0,0.0358
양천로57길(동측),서울특별시,강서구,서울특별시 강서구 가양동 1481,,,,,,0.28,1.5,,1,양천로57길(동측)_강서구,0,0.0358
곰달래로(남측),서울특별시,강서구,서울특별시 강서구 화곡동 357-25,,,,,,2.3,3.0,,0,곰달래로(남측)_강서구,1,0.0769
곰달래로(북측),서울특별시,강서구,서울특별시 강서구 화곡동 776-6,,,,,,2.3,3.0,,0,곰달래로(북측)_강서구,1,0.0769
양천로(남측),서울특별시,강서구,서울특별시 강서구 마곡동 1164,,,,,,1.01,1.2,,1,양천로(남측)_강서구,0,0.031
양천로(북측),서울특별시,강서구,서울특별시 강서구 마곡동 61-1,,,,,,1.1,1.2,,1,양천로(북측)_강서구,0,0.0313
강서로(서측),서울특별시,강서구,서울특별시 강서구 마곡동 776-2,,,,,,1.04,1.2,,1,강서로(서측)_강서구,0,0.0311
강서로(동측),서울특별시,강서구,서울특별시 강서구 등촌동 674-1,,,,,,1.0,1.2,,1,강서로(동측)_강서구,0,0.031
세현고앞길,서울특별시,강서구,서울특별시 강서구 가양동 1492,,,,,,0.19,2.0,,1,세현고앞길_강서구,1,0.0472
양천로67길,서울특별시,강서구,서울특별시 강서구 염창동244-2,,,,,,0.23,3.0,,1,양천로67길_강서구,1,0.0707
"강서로68길, 화곡로69길",서울특별시,강서구,서울특별시 강서구 등촌동 684-3,,,,,,1.4,3.0,,1,"강서로68길, 화곡로69길_강서구",1,0.0742
양천로(북측),서울특별시,강서구,서울특별시 강서구 염창동 260,,,,,,2.5,4.0,,1,양천로(북측)_강서구,1,0.1008
양천로(남측),서울특별시,강서구,서울특별시 강서구 가양동 14-61,,,,,,2.5,4.0,,1,양천로(남측)_강서구,1,0.1008
허준로(북측),서울특별시,강서구,서울특별시 강서구 가양동 1490,,,,,,2.46,4.0,,1,허준로(북측)_강서구,1,0.1007
허준로(남측),서울특별시,강서구,서울특별시 강서구 가양동 1459,,,,,,2.46,4.0,,1,허준로(남측)_강서구,1,0.1007
방화대로(동측),서울특별시,강서구,서울특별시 강서구 방화동 257-19,,,,,,0.29,2.0,,1,방화대로(동측)_강서구,1,0.0475
방화대로(서측),서울특별시,강서구,서울특별시 강서구 방화동 834-4,,,,,,1.67,3.5,,1,방화대로(서측)_강서구,1,0.0866
강서로47길,서울특별시,강서구,서울특별시 강서구 내발산동 751,,,,,,0.3,3.5,,1,강서로47길_강서구,1,0.0825
수명로1길,서울특별시,강서구,서울특별시 강서구 내발산동 753,,,,,,0.7,3.5,,1,수명로1길_강서구,1,0.0837
화곡로(남측),서울특별시,강서구,서울특별시 강서구 화곡동 1069-3,,,,,,0.7,3.0,,1,화곡로(남측)_강서구,1,0.0721
화곡로(북측),서울특별시,강서구,서울특별시 강서구 화곡동 1089-54,,,,,,0.7,3.0,,1,화곡로(북측)_강서구,1,0.0721
방화대로,서울특별시,강서구,서울특별시 강서구 마곡동 730-68,,,,,,1.07,1.5,,1,방화대로_강서구,0,0.0382
우현로(북측),서울특별시,강서구,서울특별시 강서구 화곡동 1165,,,,,,0.6,1.5,,1,우현로(북측)_강서구,0,0.0368
우현로(남측),서울특별시,강서구,서울특별시 강서구 내발산동 724-63,,,,,,0.6,1.5,,1,우현로(남측)_강서구,0,0.0368
가로공원로(북측),서울특별시,강서구,서울특별시 강서구 화곡1동 400-85,,,,,,0.25,2.0,,1,가로공원로(북측)_강서구,1,0.0474
