name,category,sub_category,sido,address,lat,lon,source
김해한림박물관,kculture,museum,경상남도,경상남도 김해시 한림면 김해대로 1029-20,35.294355644,128.794198859,public
인제대학교 박물관,kculture,museum,경상남도,경상남도 김해시 인제로 197  (어방동),35.248483963,128.901906368,public
김해민속박물관,kculture,museum,경상남도,경상남도 김해시 분성로261번길 35  (봉황동),35.234665127,128.876420109,public
진영문화의집,kculture,museum,경상남도,경상남도 김해시 진영읍 여래로20번길 11-0  (진영읍사무소),35.304328161,128.733302815,public
김해목재문화체험장,kculture,museum,경상남도,경상남도 김해시 관동로27번길 5-49  (관동동),35.180061968,128.808172347,public
용주사효행박물관,kculture,museum,경기도,"경기도 화성시 병점구 용주로 136, 용주사 (송산동)",37.212224207,127.005298022,public
화성시 역사박물관,kculture,museum,경기도,경기도 화성시 만세구 향남읍 행정동로 96-0  (화성시향토박물관),37.132638119,126.928110147,public
화성시독립운동기념관,kculture,museum,경기도,경기도 화성시 만세구 향남읍 제암고주로 34,37.125000795,126.890320445,public
엄미술관,kculture,museum,경기도,경기도 화성시 효행구 봉담읍 오궁길 37,37.205537163,126.979381188,public
소다미술관,kculture,museum,경기도,경기도 화성시 병점구 효행로707번길 30-0 (안녕동),37.201627921,127.006147758,public
창원역사민속관,kculture,museum,경상남도,경상남도 창원시 의창구 창이대로397번길 25  (사림동),35.245070942,128.680989435,public
대산미술관,kculture,museum,경상남도,경상남도 창원시 의창구 대산면 유등로369번길 14-8,35.345164213,128.744078375,public
경남도립미술관,kculture,museum,경상남도,경상남도 창원시 의창구 용지로 296  (퇴촌동),35.239453566,128.690872903,public
웅천도요지전시관,kculture,museum,경상남도,"경상남도 창원시 진해구 두동도요로 198, 웅천도요지전시관 (두동)",35.12737623,128.815587551,public
마산시립박물관,kculture,museum,경상남도,경상남도 창원시 마산합포구 문신길 105  (추산동),35.205671194,128.568910107,public
창원대학교 박물관,kculture,museum,경상남도,경상남도 창원시 의창구 창원대학로 20  (용동),35.247226314,128.692332862,public
