contentid,contenttypeid,name,address,addr2,lon,lat,cat1,cat2,cat3,image_url,tel,sub_category,sido
2383747,25,강과 사람의 이야기가 포항의 물길,,,129.3725755913,36.0413596216,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/28/1964628_image2_1.jpg,,tourism_course,
2557515,25,"겨울여행지 추천. 느린 만큼 매력적인 곳, 1박2일 안동 여행 코스",,,128.7601169125,36.5768149396,C01,C0117,C01170001,http://tong.visitkorea.or.kr/cms/resource/05/2557505_image2_1.jpg,,tourism_course,
1960312,25,경북 군위의 특별한 체험,,,128.439417961,36.2724741904,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/01/691701_image2_1.jpg,,tourism_course,
1948950,25,경북 남부권을 여행하다,,,128.3485506092,36.0886212034,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/79/688879_image2_1.jpg,,tourism_course,
1948980,25,경산의 팔공산 갓바위에 오르다,,,128.7397133654,35.9865761206,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/34/655734_image2_1.jpg,,tourism_course,
1871068,25,경상도의 중심지였던 상주를 만나다,,,128.1056625959,36.4311443978,C01,C0113,C01130001,,,tourism_course,
1854218,25,경주 최고의 문화유산을 만나다,,,129.3330446288,35.7893956579,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/30/1200930_image2_1.jpg,,traditional_culture,
1945387,25,경주의 보물을 만나는 길,,,129.2128629747,35.8073108096,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/43/179843_image2_1.jpg,,tourism_course,
1875574,25,"고운사 숲길도 걷고, 애플와인 체험도 하고",,,128.7501073295,36.458639339,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/75/721775_image2_1.jpg,,tourism_course,
1875578,25,공룡발자국에서 전통마을까지 의성에서 즐기는 역사여행,,,128.6968892377,36.2852469705,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/01/721501_image2_1.jpg,,traditional_culture,
2788286,25,과거로 돌아가 잠시 삶의 쉼표를 찍어보는 영주 여행,경상북도 영주시 영주동 337-20,,128.622907975,36.826031081,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/22/2654222_image2_1.jpg,,tourism_course,경상북도
1856071,25,"금계포란형, 닭실마을의 풍수지리를 들여다 보자!",,,128.7420200393,36.9049520746,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/15/893215_image2_1.jpg,,tourism_course,
1855884,25,금빛까마귀가 살고 있는 금오산을 올라보자,,,128.312997536,36.1125067252,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/30/1067030_image2_1.jpg,,tourism_course,
1944360,25,금성산과 신비한 빙계계곡을 걷다,,,128.6838718063,36.2550362743,C01,C0115,C01150001,,,tourism_course,
2037283,25,"기암절벽에 피어난 단풍따라, 깊은 계곡 따라",,,129.0324034715,35.6211089751,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/98/1742698_image2_1.jpg,,tourism_course,
1943383,25,김천의 산천 수도산과 청암사에 여름여행을 떠나다,,,128.0266874645,35.8855467398,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/70/592270_image2_1.jpg,,tourism_course,
1943363,25,김천의 아름다운 절경과 전통문화를 찾아 떠나다,,,128.0028416282,36.115156327,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/85/592185_image2_1.jpg,,traditional_culture,
1871116,25,내성천 물길이 만들어내는 아름다운 풍경을 만나다,,,128.2982083776,36.5633161777,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/14/691914_image2_1.jpg,,tourism_course,
1943392,25,너무도 유명한 안동 하회마을 여행 코스,,,128.5549628011,36.5808745081,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/02/2654202_image2_1.jpg,,tourism_course,
2006523,25,눈으로 보고 마음으로 느끼는 경주 미술·박물관 여행,,,129.1936228454,35.8125237475,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/67/1615367_image2_1.jpg,,museum,
1948716,25,"늙은 소나무가 들려주는 삶의 지혜, 울진에서 힐링해 보자",,,129.2704176242,36.9917161844,C01,C0112,C01120001,,,tourism_course,
1967422,25,"대가야문화를 벗삼은 산행, 고령의 등산 코스",,,128.2613384112,35.7018190201,C01,C0114,C01140001,,,traditional_culture,
1871095,25,"대게의 고장, 영덕대게로를 따라 바다를 즐기다",,,129.3900036722,36.3592989277,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/27/1229927_image2_1.jpg,,tourism_course,
1948987,25,대구의 분지의 중부평야의 유적을 찾아서,,,128.7497082649,35.8400012322,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/89/1615489_image2_1.jpg,,tourism_course,
2049286,25,도보로 즐기는 신라의 여름밤,,,129.2190922049,35.8346939478,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/58/1613358_image2_1.jpg,,tourism_course,
1944431,25,막걸리를 좋아하는 소나무를 찾아서,,,128.4919475242,36.7271649359,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/69/691869_image2_1.jpg,,tourism_course,
2519121,25,만물의 생동을 느끼는 산행,,,128.5991146633,35.9861624485,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/02/1055002_image2_1.jpg,,tourism_course,
1960685,25,문경 생달리 마을에서 푸근한 전통 음식을 만들어보자,,,128.0615463625,36.6539153324,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/73/1070573_image2_1.jpg,,traditional_culture,
1856000,25,문경새재를 따라 기쁜 소식을 들어볼까?,,,128.0769947007,36.7616032758,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/03/1644403_image2_1.jpg,,tourism_course,
1871101,25,문학의 고장에서 만나는 문인의 향기,,,129.1280903746,36.5588434278,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/42/898442_image2_1.jpg,,tourism_course,
1949306,25,물 맑고 깨끗한 그 이름도 청도,,,128.7305180043,35.6503972969,C01,C0112,C01120001,,,tourism_course,
1950250,25,물돌이 무섬마을과 외나무다리를 밟아보다,,,128.6222024708,36.7311280411,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/39/1718639_image2_1.jpg,,tourism_course,
2357553,25,"바다와 바람, 자연체험여행의 보물창고",,,129.443442328,36.4898240179,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/07/1230307_image2_1.jpg,,tourism_course,
1853986,25,바다의 용으로 다시 태어난 문무대왕을 찾아서,,,129.4055767822,35.8030343852,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/35/202535_image2_1.jpg,,tourism_course,
1949307,25,반시로 만든 청도만의 와인 터널로 초대합니다,,,128.7205560174,35.7135399852,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/75/1140675_image2_1.jpg,,tourism_course,
1944425,25,밝고 청정한 영양의 산천을 찾아서,,,129.098338559,36.8033843977,C01,C0116,C01160001,http://tong.visitkorea.or.kr/cms/resource/26/609126_image2_1.jpg,,tourism_course,
1871105,25,백두대간 마구령과 고치령에서 즐기는 캠핑여행,,,128.5657716439,36.9129117127,C01,C0116,C01160001,http://tong.visitkorea.or.kr/cms/resource/23/2654223_image2_1.jpg,,tourism_course,
2364616,25,버스로 떠나는 제2의 수학여행 양동마을 코스,,,129.2546510266,35.9998926221,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/34/2032634_image2_1.jpg,,tourism_course,
2659576,25,베스트 포토존 포항 여행 코스!,경상북도 포항시 남구 호미곶면 해맞이로150번길 20,,129.5682795878,36.0778703554,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/32/2653332_image2_1.jpg,,tourism_course,경상북도
1948956,25,별빛을 연결해 준 영천 보현산 천문대,,,128.7897032565,35.9918431212,C01,C0114,C01140001,,,tourism_course,
1875589,25,봄가을로 즐기는 절골계곡의 아름다움,,,128.9887958673,36.31647669,C01,C0115,C01150001,,,tourism_course,
1950219,25,봉화 금강송 숲 사이를 거닐다,,,128.9638218071,37.0213735267,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/51/1166551_image2_1.jpg,,tourism_course,
1949894,25,봉화의 볼거리와 먹거리를 찾아,,,128.7436004749,36.9042271877,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/16/893216_image2_1.jpg,,tourism_course,
1966524,25,봉화의 약수관광지를 돌아보다,,,128.7623375771,36.9081520943,C01,C0114,C01140001,,,tourism_course,
1854224,25,불국토 남산에 올라 경주를 굽어보다,,,129.2075046626,35.8230644863,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/61/1200561_image2_1.jpg,,tourism_course,
2364620,25,빛으로 빛나는 경주의 야간투어 코스,,,129.2867249417,35.842641552,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/19/179819_image2_1.jpg,,tourism_course,
1871120,25,산과 바다를 동시에 즐기는 캠핑여행,,,129.2704176242,36.9917161844,C01,C0116,C01160001,,,tourism_course,
1948962,25,산세가 부드럽고 나즈막해서 더욱 정겨운 영천,,,129.0136259452,36.0635725234,C01,C0114,C01140001,,,tourism_course,
2382630,25,"삼강주막마을, 회룡포마을, 출렁다리마을 코스 [웰촌]",,,128.2978861974,36.5628467803,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/22/1615022_image2_1.jpg,,tourism_course,
1943425,25,상주의 오래된 유적지와 자전거 역사 여행을 함께,,,127.9232625946,36.416392753,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/08/1890308_image2_1.jpg,,tourism_course,
1977181,25,상주의 자연과 역사 놀이를 한 번에 즐기기,,,127.8993852778,36.5756741007,C01,C0112,C01120001,,,tourism_course,
1950220,25,선비의 걸음으로 영주의 옛고개를 넘다,,,128.6875221329,36.9988291645,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/96/1718696_image2_1.jpg,,tourism_course,
2365335,25,선조들의 유유자적한 삶을 엿보러 영주로!,,,128.6876110241,36.9984792058,C01,C0113,C01130001,http://tong.visitkorea.or.kr/cms/resource/93/1614893_image2_1.jpg,,tourism_course,
1949337,25,성주의 자연과 어우러진 역사여행,,,128.3264042258,35.9287028395,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/22/1401922_image2_1.jpg,,tourism_course,
