contentid,contentTypeId,title,addr1,mapx,mapy,cat1,cat2,cat3
1828571,12,독립관,서울특별시 서대문구 통일로 251 (현저동),126.9573421635,37.5746723659,A02,A0201,A02010100
127425,12,독립문,서울특별시 서대문구 현저동,126.9595142504,37.5724532182,A02,A0201,A02010300
2783547,12,독립선언문 배부 터,서울특별시 종로구 삼일대로 457 (경운동),126.9865255983,37.5752617096,A02,A0201,A02010700
2756142,12,독산 근린공원,서울특별시 금천구 범안로 1096 (독산동),126.8849491194,37.4633256748,A02,A0202,A02020700
2470006,12,동대문디자인플라자(DDP),서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.566107632,A02,A0204,A02040800
1906334,12,동대문역사문화공원,서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.566107632,A02,A0202,A02020700
1603677,12,동십자각,서울특별시 종로구 삼청로 1,126.9794373301,37.576133703,A02,A0201,A02010200
2764187,12,동작청소년센터,서울특별시 동작구 상도로15바길 5 (상도동),126.9332602397,37.5041023568,A02,A0203,A02030400
3006915,12,등나무근린공원,서울특별시 노원구 동일로 1238 서울시립 북서울미술관,127.0668719687,37.6407111019,A02,A0202,A02020700
3448217,12,디큐브시티 해바라기 공원,서울특별시 구로구 경인로 624 (신도림동),126.8854062045,37.5062901367,A01,A0101,A01010500
2561208,12,디키디키,서울특별시 중구 을지로 281,127.0103125191,37.5681962916,A02,A0203,A02030400
1030763,12,뚝섬한강공원,서울특별시 광진구 강변북로 2273 (자양동),127.0739939307,37.5294186076,A02,A0202,A02020700
2756578,12,뚝섬한강공원 벽천마당,서울특별시 광진구 자양동,127.0713164044,37.529151924,A02,A0202,A02020700
3074841,12,라움아트센터,서울특별시 강남구 언주로 564 (역삼동),127.0394226796,37.5081871185,A02,A0203,A02030400
2992824,12,락고재 컬쳐 라운지 애가헌,서울특별시 종로구 북촌로11가길 16 (가회동),126.983958966,37.5822969574,A02,A0203,A02030200
2500214,12,로렌스길,서울특별시 마포구 상수동,126.9214545083,37.5484886553,A02,A0203,A02030600
2476731,12,롯데월드 아쿠아리움,서울특별시 송파구 올림픽로 300 (신천동),127.1040749597,37.5141653654,A02,A0202,A02020600
126498,12,롯데월드 어드벤처,서울특별시 송파구 올림픽로 240,127.0979006014,37.5113516917,A02,A0202,A02020600
2003909,12,롯데월드타워&롯데월드몰,서울특별시 송파구 올림픽로 300 (신천동),127.1040749597,37.5141653654,A02,A0205,A02050600
2591813,12,류순정·류홍 부자 묘역,서울특별시 구로구 오류동,126.8293840248,37.4887161799,A02,A0201,A02010700
2946527,12,리얼 이스케이프 챌린지,서울특별시 마포구 와우산로27길 21 (서교동),126.9271149424,37.5542047587,A02,A0203,A02030400
2850356,12,리얼월드 성수,서울특별시 성동구 연무장13길 8,127.0584227632,37.5422307285,A02,A0203,A02030400
3027054,12,리홀뮤직갤러리,서울특별시 성북구 성북로31길 9 (성북동),126.990480244,37.5946345287,A02,A0203,A02030400
3458417,12,마곡광장,서울특별시 강서구 마곡중앙5로 지하9 (마곡동),126.8269404101,37.56606548,A02,A0202,A02020700
126487,12,마로니에공원,서울특별시 종로구 대학로 104,127.0027239807,37.5802419773,A02,A0202,A02020700
2752525,12,마루공원,서울특별시 강남구 일원동,127.0808164645,37.4965531025,A02,A0202,A02020600
2757653,12,마천공원,서울특별시 송파구 성내천로23길 12 (마천동),127.1457909755,37.5012815023,A02,A0202,A02020700
2373247,12,마포전차종점 3·1운동 만세 시위지,서울특별시 마포구 마포대로 20 (마포동),126.9450026445,37.5384763513,A02,A0201,A02010700
2650756,12,망우 역사문화공원,서울특별시 중랑구 망우로 570,127.114832694,37.5984057744,A02,A0202,A02020700
127307,12,망원정 터,서울특별시 마포구 동교로8안길 23 (합정동),126.9047532101,37.5499992917,A02,A0201,A02010700
1059638,12,망원한강공원,서울특별시 마포구 마포나루길 467,126.8999035848,37.552398926,A02,A0202,A02020700
1131275,12,매헌시민의 숲,서울특별시 서초구 매헌로 99 (양재동),127.0368379074,37.4691610476,A01,A0101,A01010400
2373320,12,맥아더 사령관 한강방어선 시찰지,서울특별시 영등포구 신길로 275 (영등포동),126.9122840318,37.5162061316,A02,A0201,A02010700
264311,12,명동,서울특별시 중구 명동2가,126.984915005,37.562152093,A02,A0203,A02030400
1957600,12,명동 남대문 북창동 다동무교동 관광특구,서울특별시 중구 세종대로 40,126.9753048316,37.5599771733,A02,A0202,A02020200
2761662,12,명락사,서울특별시 관악구 청룡1길 11,126.9470207355,37.4814635656,A02,A0201,A02010800
250350,12,목멱산 봉수대 터,서울특별시 중구 예장동,126.9875150542,37.552053313,A02,A0201,A02010200
753981,12,몽마르뜨공원,서울특별시 서초구 반포대로 201 (반포동),127.0045483736,37.4976821568,A02,A0202,A02020700
127525,12,몽촌토성,서울특별시 송파구 올림픽로 424,127.1229758237,37.5209871362,A02,A0201,A02010200
3013272,12,무계원,서울특별시 종로구 창의문로5가길 2 (부암동),126.9636244375,37.5918454822,A02,A0203,A02030200
1603543,12,무궁화동산,서울특별시 종로구 궁정동 55-5,126.9721572068,37.5843076223,A02,A0202,A02020700
2900390,12,무대륙,서울특별시 마포구 토정로5길 12 (합정동),126.9183854133,37.5460194431,A02,A0203,A02030400
2759649,12,무수골계곡,서울특별시 도봉구 도봉동,127.0338156248,37.6766535473,A01,A0101,A01010900
2762874,12,묵정어린이공원,서울특별시 중구 동호로31길 21,127.0016134507,37.5633050369,A02,A0202,A02020700
2650230,12,문래예술공장,서울특별시 영등포구 경인로88길 5-4,126.900160219,37.5132812541,A02,A0203,A02030400
250364,12,문화역 서울 284,서울특별시 중구 통일로 1 (봉래동2가),126.9716247231,37.5560109019,A02,A0203,A02030400
2592089,12,문화철도959,서울특별시 구로구 경인로 688 (신도림동),126.8912028193,37.5090871374,A02,A0203,A02030400
309302,12,미타사(성동),서울특별시 성동구 독서당로40길 21,127.0171792585,37.5435714979,A02,A0201,A02010800
309299,12,미타사(성북),서울특별시 성북구 보문사길 6-16 (보문동3가),127.0163337157,37.5850249996,A02,A0201,A02010800
605961,12,민영환 자결터,서울특별시 종로구 인사동5길 41 (공평동),126.9841842397,37.571906502,A02,A0201,A02010700
2373326,12,반공 청년운동 순국 열사 기념비,서울특별시 중구 남산공원길 125-72,126.9873511751,37.552231068,A02,A0205,A02050200
1828631,12,반공순국용사 위령탑,서울특별시 영등포구 신길동,126.9185862077,37.5171950175,A02,A0205,A02050200
2763871,12,방배배수지체육공원,서울특별시 서초구 남부순환로296길 4-9 (방배동),117.9925662504,19.69442748,A02,A0202,A02020700
250166,12,방화대교,서울특별시 강서구 방화동로 61 (방화동),126.8122361958,37.5660513299,A02,A0205,A02050100
2661483,12,배봉산,서울특별시 동대문구 전농동,127.0638156159,37.580954105,A01,A0101,A01010400
309307,12,백련사(강북),서울특별시 강북구 4.19로20길 142 (수유동),126.999541824,37.6468091795,A02,A0201,A02010800
128028,12,백련사(서대문),서울특별시 서대문구 백련사길 170-43 (홍은동),126.9273945625,37.5863899113,A02,A0201,A02010800
129418,12,백범광장(백범 김구선생 동상),서울특별시 중구 회현동1가,126.9798156648,37.5552528034,A02,A0205,A02050400
2993160,12,백악마루,서울특별시 종로구 부암동 30,126.9695127307,37.5939481211,A01,A0101,A01010400
2481866,12,백인제가옥,서울특별시 종로구 북촌로7길 16 (가회동),126.9841423343,37.5804693948,A02,A0201,A02010400
2757155,12,법룡사,서울특별시 강남구 광평로31길 56 (수서동),127.0883855136,37.4862044398,A02,A0201,A02010800
2751294,12,법안정사,서울특별시 양천구 목동동로 371 (목동),126.8783949148,37.535364411,A02,A0201,A02010800
3006899,12,벽운계곡,서울특별시 노원구 동일로250길 44-142 (상계동),127.0656764018,37.6838366199,A01,A0101,A01010900
316104,12,보문사(서울),서울특별시 성북구 보문사길 20 (보문동3가),127.0166614803,37.5844334073,A02,A0201,A02010800
