sido,sigungu,crash_count,death_count,severe_count,injury_count,danger_score
대구광역시,수성구,543.0,8.0,232.0,267.0,0.3674
대구광역시,중구,335.0,10.0,144.0,135.0,0.2253
대전,대덕구,28.0,3.0,24.0,1.0,0.0242
대전,동구,76.0,3.0,72.0,10.0,0.0671
대전,서구,174.0,3.0,150.0,27.0,0.1433
대전,유성구,22.0,1.0,16.0,5.0,0.0163
대전,중구,21.0,2.0,13.0,6.0,0.016
대전광역시,대덕구,47.0,1.0,22.0,24.0,0.032
대전광역시,동구,140.0,1.0,56.0,97.0,0.0978
대전광역시,서구,244.0,2.0,113.0,130.0,0.1697
대전광역시,유성구,104.0,5.0,34.0,64.0,0.0716
대전광역시,중구,168.0,6.0,71.0,86.0,0.118
부산,금정구,167.0,1.0,167.0,2.0,0.141
부산,기장군,28.0,1.0,28.0,1.0,0.0236
부산,남구,232.0,12.0,220.0,4.0,0.2051
부산,동구,165.0,7.0,161.0,9.0,0.1475
부산,동래구,83.0,1.0,75.0,9.0,0.0677
부산,부산진구,454.0,5.0,475.0,27.0,0.4073
부산,북구,59.0,3.0,59.0,1.0,0.0525
부산,사상구,111.0,9.0,103.0,4.0,0.1011
부산,사하구,149.0,3.0,146.0,7.0,0.1284
부산,서구,52.0,3.0,49.0,2.0,0.0452
부산,수영구,147.0,8.0,136.0,11.0,0.1303
부산,연제구,94.0,3.0,90.0,6.0,0.0812
부산,영도구,104.0,3.0,105.0,2.0,0.0913
부산,중구,144.0,4.0,139.0,8.0,0.1247
부산,해운대구,58.0,2.0,56.0,0.0,0.0489
부산광역시,금정구,90.0,3.0,70.0,12.0,0.0705
부산광역시,기장군,14.0,2.0,14.0,0.0,0.0129
부산광역시,남구,123.0,1.0,89.0,29.0,0.0924
부산광역시,동구,63.0,3.0,58.0,3.0,0.0537
부산광역시,동래구,216.0,6.0,144.0,57.0,0.1643
부산광역시,부산진구,203.0,3.0,190.0,41.0,0.1778
부산광역시,북구,30.0,3.0,25.0,6.0,0.0267
부산광역시,사상구,68.0,2.0,48.0,34.0,0.0567
부산광역시,사하구,107.0,4.0,83.0,18.0,0.0857
부산광역시,서구,34.0,2.0,30.0,2.0,0.0281
부산광역시,수영구,155.0,5.0,92.0,51.0,0.1149
부산광역시,연제구,68.0,3.0,53.0,21.0,0.0573
부산광역시,영도구,39.0,2.0,38.0,2.0,0.034
부산광역시,중구,45.0,1.0,43.0,4.0,0.0376
부산광역시,해운대구,64.0,2.0,50.0,13.0,0.0508
서울,강남구,147.0,1.0,144.0,14.0,0.1258
서울,강동구,165.0,1.0,114.0,46.0,0.123
서울,강북구,251.0,13.0,220.0,27.0,0.2183
서울,강서구,135.0,1.0,106.0,30.0,0.1056
서울,관악구,200.0,13.0,187.0,12.0,0.1812
서울,광진구,20.0,2.0,15.0,8.0,0.0174
서울,구로구,163.0,1.0,122.0,43.0,0.1261
서울,금천구,123.0,10.0,110.0,12.0,0.1121
서울,노원구,120.0,3.0,88.0,33.0,0.0949
서울,도봉구,81.0,3.0,75.0,7.0,0.0694
서울,동대문구,384.0,14.0,305.0,65.0,0.3154
서울,동작구,198.0,6.0,180.0,9.0,0.166
