start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index
,,,,1.89,1.8,,,0,0.1059
,,,,1.48,1.2,,,0,0.059
,,,,7.78,1.5,,,0,0.1087
,,,,0.82,3.0,,,1,0.1917
,,,,3.0,1.2,,,0,0.0655
,,,,13.4,1.2,,,0,0.1102
,,,,13.81,1.5,,,0,0.1346
,,,,1.78,1.5,,,0,0.0829
,,,,5.7,1.5,,,0,0.0997
,,,,0.25,1.5,,,0,0.0763
,,,,4.15,1.5,,,0,0.0931
,,,,0.57,1.5,,,0,0.0777
,,,,0.38,1.5,,,0,0.0769
,,,,0.6,1.5,,,0,0.0778
,,,,0.43,1.5,,,0,0.0771
,,,,0.14,3.0,,,1,0.1887
,,,,0.48,3.0,,,1,0.1902
,,,,0.57,2.0,,,1,0.1153
,,,,0.52,3.5,,,1,0.228
,,,,0.49,3.5,,,1,0.2279
,,,,0.94,1.0,,,0,0.0416
,,,,2.45,1.5,,,0,0.0858
,,,,2.25,2.0,,,1,0.1225
,,,,2.07,1.5,,,0,0.0841
,,,,0.72,2.0,,,1,0.116
,,,,1.65,1.2,,,0,0.0597
,,,,0.74,1.5,,,0,0.0784
,,,,1.24,1.5,,,0,0.0806
,,,,2.68,1.5,,,0,0.0867
,,,,0.7,1.5,자전거보행자겸용도로,,0,0.0782
,,,,1.24,1.5,,,0,0.0806
,,,,0.7,1.5,자전거보행자겸용도로,,0,0.0782
,,,,1.1,2.0,자전거보행자겸용도로,,1,0.1176
,,,,1.0,3.0,자전거보행자겸용도로,,1,0.1924
,,,,2.1,3.0,자전거보행자겸용도로,,1,0.1972
,,,,2.1,3.0,자전거보행자겸용도로,,1,0.1972
,,,,0.9,3.0,자전거보행자겸용도로,,1,0.192
,,,,0.9,3.0,자전거보행자겸용도로,,1,0.192
,,,,0.8,3.0,자전거보행자겸용도로,,1,0.1916
,,,,0.8,3.0,자전거보행자겸용도로,,1,0.1916
,,,,0.8,3.0,자전거보행자겸용도로,,1,0.1916
