x,y,distance,install_type,is_24h,has_restricted_hours
127.019574465,37.626033767,7644.453543,기계식|,False,False
127.018206157,37.62294786,7314.649085,기계식|,False,False
127.01385271,37.618898762,6731.08698,기계식|,False,False
127.013958676,37.617416494,6617.367782,기계식|,False,False
127.084680062,37.619694276,12321.477371,,False,False
127.025782617,37.630813444,8398.785255,기계식|,False,False
127.036544985,37.636958272,9553.253433,기계식|,False,False
126.942784784,37.482484379,8767.859225,기계식|,False,False
126.981081321,37.476165479,8821.599079,기계식|,False,False
126.930090089,37.484511459,9127.921613,기계식|,False,False
126.938123835,37.470524797,10051.43211,기계식|,False,False
126.951606629,37.478684695,8852.904176,기계식|,False,False
126.950710316,37.481386591,8616.871205,기계식|,False,False
126.953266722,37.481355904,8552.212246,기계식|,False,False
126.930104754,37.484069865,9165.761321,기계식|,False,False
126.927153147,37.489923424,8814.653919,기계식|,False,False
126.918586421,37.474342175,10589.437222,기계식|,False,False
126.902867144,37.479917634,11069.928807,기계식|,False,False
126.926303766,37.484136918,9350.831417,기계식|,False,False
126.912837091,37.48715484,9876.565987,기계식|,False,False
126.91341706,37.487483291,9814.667697,기계식|,False,False
126.91911,37.48599,9590.97379,기계식|,False,False
126.963171761,37.477031894,8787.68993,기계식|,False,False
127.068157965,37.540534998,9640.017711,,False,False
126.964155432,37.477072413,8771.310422,기계식|,False,False
127.020721183,37.615109682,6866.803267,기계식|,False,False
127.087506416,37.588827699,11547.902151,,False,False
127.038837745,37.627259835,8998.412643,기계식|,False,False
127.038324412,37.624139192,8744.944384,기계식|,False,False
127.092796969,37.599147335,12317.827949,,False,False
126.916869681,37.579633027,5986.227228,,False,False
126.916495588,37.57623199,5944.027288,,False,False
127.07755754,37.574884446,10342.113162,,False,False
126.917669759,37.575241804,5809.394312,,False,False
126.945740663,37.589404657,3842.071487,,False,False
127.039603283,37.626246564,8982.799376,기계식|,False,False
127.084581018,37.617750377,12226.175758,,False,False
127.097419977,37.586085358,12466.988373,,False,False
127.073409037,37.605173813,10689.908481,기계식|,False,False
127.091398857,37.600006309,12208.794017,기계식|,False,False
127.077686041,37.582628633,10463.562684,기타|태|태양광식|태양광식|,False,False
127.093850456,37.536885538,12223.491147,,False,False
126.971638211,37.484420262,7978.831419,수동식|,False,False
126.972246559,37.484366082,7982.147853,수동식|,False,False
127.107583713,37.606264493,13940.244102,,False,False
127.039757328,37.62929144,9206.798428,기계식|,False,False
127.038933337,37.632882312,9407.813058,기계식|,False,False
127.037033491,37.626270309,8800.579669,기계식|,False,False
127.040552045,37.627221456,9118.749332,기계식|,False,False
127.048163789,37.623636475,9453.202455,기계식|,False,False
127.07693381,37.529948804,10780.768098,,False,False
127.109880556,37.617642216,14538.415224,,False,False
127.011837936,37.641951185,8621.265616,기계식|,False,False
127.022903323,37.635349088,8598.46064,기계식|,False,False
127.01418175,37.640595334,8604.122568,기계식|,False,False
127.015026173,37.641468599,8720.53282,기계식|,False,False
127.02717927,37.644923858,9632.764262,기계식|,False,False
127.026612381,37.64471991,9584.844729,기계식|,False,False
127.02500537,37.639415843,9053.220671,기계식|,False,False
127.019300592,37.642162095,8986.404066,기계식|,False,False
127.018417036,37.645585823,9243.056691,기계식|,False,False
127.021859956,37.646061763,9452.020944,기계식|,False,False
127.017672695,37.630095553,7871.402815,기계식|,False,False
127.013144275,37.631095467,7720.131022,기계식|,False,False
127.012568009,37.627794189,7406.043211,기계식|,False,False
127.017404729,37.630349086,7878.096178,기계식|,False,False
127.02403208,37.618303689,7325.823841,기계식|,False,False
127.093057189,37.616801349,12954.448015,,False,False
127.043750664,37.625834537,9259.40972,기계식|,False,False
127.044728871,37.624776988,9263.031232,기계식|,False,False
127.087947433,37.580567365,11443.619818,,False,False
127.042136987,37.628872562,9347.422983,기계식|,False,False
