visit_area_nm,x_coord,y_coord,attraction_score_mean,attraction_score_std,visit_count,attraction_score_norm
GS25 고색리 치아 노점,126.9777299,37.2420872,4.2723,0.0,1,0.6698
GS25 곤지암리조트점,127.2944695,37.33735,4.4765,0.0,1,0.7624
GS25 광주송정점,126.7978351,35.1346148,4.6432,0.0,1,0.8381
GS25 금곡 센트럴점,126.9459863,37.2746884,4.1133,0.0,1,0.5976
GS25 뉴 포천대로점,127.2522272,37.8059513,3.8315,0.0,1,0.4697
GS25 능동 사랑 점,127.0775551,37.5529613,3.9487,0.0,1,0.5229
GS25 달서 하이츠점,128.5161024,35.8525844,4.675,0.0,1,0.8525
GS25 동탄 호수 계룡점,127.1038652,37.1649939,4.2458,0.0,1,0.6577
GS25 둔전 양재점,127.2187938,37.2705439,4.127,0.0,1,0.6038
GS25 북위례 경서점,127.1580959,37.4876827,3.9132,0.0,1,0.5068
GS25 성북 정릉 타운점,127.0133499,37.6059195,3.7785,0.0,1,0.4457
GS25 성수공원점,127.05322,37.5446658,3.9469,0.0,1,0.5221
GS25 수동외방리아점,127.3102959,37.7213168,4.1426,0.0,1,0.6109
GS25 수원 베스트점,126.9821799,37.2972497,4.1247,0.0,1,0.6028
GS25 수원 행리단길점,127.01320190000001,37.28523944,3.8941,0.0499,5,0.4981
GS25 수원선일 점,127.0302481,37.2611947,3.9428,0.0,1,0.5202
GS25 용산 포인트점,126.9715702,37.5453195,3.8359,0.0,1,0.4717
GS25 용산점,126.9640343,37.5255747,3.8369,0.0,1,0.4721
GS25 중구 퇴계점,126.9917332,37.5609207,4.2137,0.0,1,0.6432
GS25 파주 문벌 사랑 점,126.6962782,37.7260514,4.3429,0.0,1,0.7018
GS25 포곡 골든 점,127.2167566,37.2870961,4.0523,0.0,1,0.5699
GS25 허브아일랜드점,127.1317003,37.9653845,3.9209,0.0,1,0.5103
GS25 화성 능동점,127.0594783,37.2109593,4.3825,0.0,1,0.7197
GS칼텍스 구봉산 셀프주유소,127.3456098,36.2976243,4.4434,0.0,1,0.7474
GS칼텍스 설악 IC 주유소,127.4861399,37.6738617,3.5278,0.0,1,0.3319
GTS 버거 병점 롯데시네마점,127.0424214,37.2137401,4.2292,0.0,1,0.6502
H&M 홍대점,126.9224953,37.5545417,3.8236,0.0,1,0.4661
IFC 몰,126.9259558,37.5250668,4.2431,0.2425,20,0.6565
IMT 모텔,126.9903004,37.5690512,3.8699,0.0765,4,0.4872
J 복권방,127.0028446,37.5712248,4.302,0.0,1,0.6832
J 호텔,126.9998331,37.2698378,3.8949,0.0,1,0.4985
JMD coffee,126.9544615,37.5775167,4.0608,0.0,1,0.5738
JN 키친 수지동천역점,127.1018082,37.3384331,4.1868,0.0,1,0.631
K 스타 PC 카페 북성동점,126.6181091,37.4756573,4.0787,0.0,1,0.5819
K 현대미술관,127.0391332,37.5243499,3.9479,0.0,1,0.5225
K-water 한탄강 댐 물 문화관,127.1284509,38.0630261,3.726,0.0,1,0.4218
KBS 본관,126.9167499,37.5247021,4.5834,0.0,1,0.811
KBS 아레나,126.8479626,37.5567587,4.6472,0.0,1,0.8399
KDB산업은행 대전지점,127.382662,36.3590818,4.542,0.0,1,0.7921
KFC 강남고속 터미널점,127.0050623,37.5065473,3.8862,0.0,1,0.4945
KFC 석촌역점,127.1068763,37.5046574,3.958,0.0,1,0.5271
KFC 수원 인계 DT점,127.0281403,37.2678954,3.8374,0.0,1,0.4724
KFC 안산중앙점,126.8352541,37.3180944,4.2146,0.0,1,0.6436
KFC 용인 에버랜드점,127.2014359,37.2926573,4.1734,0.0,1,0.6248
KFC 코엑스몰점,127.0589172,37.5112828,3.8879,0.0,1,0.4953
KPOPSTAR 코인 노래연습장,126.9717789,37.5439933,3.8114,0.0,1,0.4606
KSPO DOME 올림픽 체조경기장,127.1274078,37.5192441,4.4781,0.2443,6,0.7631
KSPO 돔,127.1273999,37.5192612,4.6446,0.1083,4,0.8387
KTG 상상 플래닛,127.0581489,37.5413857,4.3669,0.0,1,0.7127
KTG 상상마당 홍대,126.9210685,37.5510089,4.2682,0.5713,2,0.6679
LA 코코보일리 본점,126.6865102,37.3414954,4.122,0.0,1,0.6015
LCDC 서울,127.061546,37.5417353,4.4134,0.2379,4,0.7338
LF 스퀘어 양주,127.0522939,37.8313932,4.344,0.0,1,0.7023
LG사이언스 파크 마곡,126.8310384,37.5627408,4.3089,0.0,1,0.6864
LG아트센터 서울,126.8292781,37.5653692,3.715,0.0,1,0.4169
LG유플러스 본사,126.9635102,37.523787,2.8812,0.0,1,0.0384
LG전자 베스트숍 구로 본점,126.8646077,37.4983139,3.7047,0.0,1,0.4121
LG전자 베스트숍 남수원 본점,127.0189455,37.2514081,4.13,0.0,1,0.6052
LG전자 베스트숍 부천점,126.7696889,37.4844393,4.1437,0.0,1,0.6114
