start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count,tourism_score,district_danger,road_attr_score,safety_score,final_score,tourism_score_v2,final_score_v2
37.35237537,126.9291997,37.35604118,126.9322383,0.8,1.5,자전거보행자겸용도로,Y,0,0.0787,2,0,0,0,0.0813008130081301,0.253623188405797,0.1142774702374591,0.4929241583442724,0.3282748202098155,0.081301,0.328275
37.35249044,126.9245391,37.34687273,126.9235986,1.2,1.5,자전거보행자겸용도로,Y,0,0.0804,2,1,0,0,0.1056910569105691,0.253623188405797,0.1176117297539914,0.4944751575781692,0.3389615173111291,0.105691,0.338961
37.34351256,126.927384,37.34874488,126.9257194,0.5,1.5,자전거보행자겸용도로,Y,0,0.0774,2,0,0,0,0.0813008130081301,0.253623188405797,0.1117767756000598,0.4910879540880788,0.3271730976560993,0.081301,0.327173
37.34543137,126.9372674,37.3451357,126.9363468,0.12,1.5,자전거보행자겸용도로,Y,0,0.0757,0,0,0,0,0.0,0.253623188405797,0.1086092290593541,0.4879546878339593,0.2927728127003756,0.0,0.292773
37.34306554,126.938879,37.34745482,126.941509,0.73,1.5,자전거보행자겸용도로,Y,0,0.0784,0,0,0,0,0.0,0.253623188405797,0.1136939748220659,0.492416016243793,0.2954496097462758,0.17211,0.364294
37.35110257,126.9397612,37.36016225,126.9434603,1.75,1.5,자전거보행자겸용도로,Y,0,0.0827,0,0,0,0,0.0,0.253623188405797,0.1221963365892235,0.4974371700485741,0.2984623020291444,0.0,0.298462
37.36893367,126.9280805,37.36828022,126.9272717,0.3,2.0,자전거보행자겸용도로,Y,1,0.1141,3,0,0,0,0.1219512195121951,0.253623188405797,0.1639557996879475,0.4965145362526491,0.3466892095564675,0.132376,0.350859
37.36393451,126.9334703,37.36765889,126.9325418,0.22,2.0,자전거보행자겸용도로,Y,1,0.1138,3,0,0,0,0.1219512195121951,0.253623188405797,0.163288947784641,0.495940010054841,0.3463444938377826,0.239476,0.393354
37.37065686,126.9291649,37.3693104,126.932429,0.98,1.0,자전거보행자겸용도로,Y,0,0.0418,3,0,0,0,0.1219512195121951,0.253623188405797,0.0619317331737448,0.4725308893065035,0.3322990213887802,0.132376,0.336469
37.35761527,126.9236481,37.36294594,126.9218369,2.5,2.0,자전거보행자겸용도로,Y,1,0.1236,2,1,0,0,0.1056910569105691,0.253623188405797,0.1822942270288755,0.5140215254260219,0.3506893380198407,0.105691,0.350689
37.36521835,126.9473185,37.34762989,126.9502829,4.6,1.5,자전거보행자겸용도로,Y,0,0.095,0,1,0,0,0.024390243902439,0.253623188405797,0.1459529356445166,0.50918873321659,0.3152693374909296,0.229593,0.39735
37.36980577,126.9374059,37.36464739,126.9403482,2.24,2.0,자전거보행자겸용도로,Y,1,0.1225,2,0,0,0,0.0813008130081301,0.253623188405797,0.1801269583431295,0.5127688444656517,0.340181631882643,0.229636,0.399516
37.3216778,126.9417538,37.31637146,126.9191013,8.11,1.5,자전거보행자겸용도로,Y,0,0.1101,0,0,0,0,0.0,0.253623188405797,0.1752110629020881,0.5165884899663143,0.3099530939797886,0.0,0.309953
37.3703838,126.9400547,37.3578177,126.9245094,4.6,1.5,자전거보행자겸용도로,Y,0,0.095,2,1,0,0,0.1056910569105691,0.253623188405797,0.1459529356445166,0.50918873321659,0.3477896626941816,0.221691,0.39419
37.37228787,126.9433873,37.35101025,126.9609251,13.62,1.2,자전거보행자겸용도로,Y,0,0.1112,0,1,0,0,0.024390243902439,0.253623188405797,0.1888327954346292,0.5378057146052605,0.3324395263241319,0.02439,0.332439
37.36376629,126.9437366,37.32383316,126.9398844,13.96,1.5,자전거보행자겸용도로,Y,0,0.1352,0,0,0,0,0.0,0.253623188405797,0.2239746083313741,0.5422571951879755,0.3253543171127853,0.17211,0.394198
37.37056655,126.9265853,37.35662216,126.9599355,8.42,1.5,자전거보행자겸용도로,Y,0,0.1114,3,0,0,0,0.1219512195121951,0.253623188405797,0.1777951140274007,0.5167341498949708,0.3588209777418605,0.121951,0.358821
37.37228787,126.9433873,37.32326962,126.9174404,13.12,2.0,자전거보행자겸용도로,Y,1,0.1693,2,0,0,0,0.0813008130081301,0.253623188405797,0.27081881719281,0.5466606648912462,0.3605167241379997,0.081301,0.360517
37.31357799,126.9245972,37.31668323,126.9250286,0.69,1.5,자전거보행자겸용도로,Y,0,0.0782,0,0,0,0,0.0,0.253623188405797,0.1133605488704127,0.4915697101641689,0.2949418260985013,0.0,0.294942
37.3183844,126.9181216,37.31637146,126.9191013,0.26,1.5,자전거보행자겸용도로,Y,0,0.0763,0,0,0,0,0.0,0.253623188405797,0.1097762198901404,0.4879546878339593,0.2927728127003756,0.24177,0.389481
37.32640352,126.9430357,37.3247877,126.9425536,0.1,4.0,자전거보행자겸용도로,Y,1,0.2638,0,0,0,0,0.0,0.253623188405797,0.3776732853142968,0.5386465509280616,0.3231879305568369,0.0,0.323188
37.32587274,126.9421544,37.32640352,126.9430357,0.12,4.0,자전거보행자겸용도로,Y,1,0.2639,0,0,0,0,0.0,0.253623188405797,0.3778399982901234,0.5386465509280616,0.3231879305568369,0.0,0.323188
37.32782674,126.9387765,37.32625688,126.9400354,1.23,4.0,자전거보행자겸용도로,Y,1,0.2687,0,0,0,0,0.0,0.253623188405797,0.3870925684485007,0.5432729017735367,0.325963741064122,0.0,0.325964
37.3262506,126.9373024,37.3255027,126.9394622,0.64,4.0,자전거보행자겸용도로,Y,1,0.2661,0,0,0,0,0.0,0.253623188405797,0.3821745356616154,0.5397529206617034,0.3238517523970221,0.0,0.323852
37.32383712,126.9351796,37.3222598,126.9448125,1.6,2.0,자전거보행자겸용도로,Y,1,0.1197,0,0,0,0,0.0,0.253623188405797,0.1747921431166777,0.5118867271074009,0.3071320362644405,0.0,0.307132
37.32508903,126.9367035,37.32366433,126.9465518,1.28,3.0,자전거보행자겸용도로,Y,1,0.1936,0,0,0,0,0.0,0.253623188405797,0.2798170431957595,0.5348346173366242,0.3209007704019745,0.0,0.320901
37.33538302,126.9077457,37.35443607,126.8967938,2.37,3.0,자전거보행자겸용도로,Y,1,0.1983,2,0,0,0,0.0813008130081301,0.253623188405797,0.2889029003783102,0.5348971951069365,0.3534586422674139,0.081301,0.353459
37.31978738,126.8872062,37.32832781,126.9171789,3.73,2.0,자전거보행자겸용도로,Y,1,0.1289,2,0,0,0,0.0813008130081301,0.253623188405797,0.1925470750422125,0.5280092290227365,0.3493258626168939,0.081301,0.349326
