route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,road_id,width_m,is_wide_road,safety_index
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4314-1,,37.049395,127.044223,37.049395,127.044223,0.27,고덕 연결녹지_평택시,,0,
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4313-1,,37.051226,127.045448,37.051226,127.045448,0.35,고덕 연결녹지_평택시,,0,
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4247-3,,37.052487,127.045443,37.052487,127.045443,0.34,고덕 연결녹지_평택시,,0,
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4247-1,,37.054064,127.045446,37.054064,127.045446,0.42,고덕 연결녹지_평택시,,0,
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4242-4,,37.052478,127.042138,37.052478,127.042138,0.31,고덕 연결녹지_평택시,,0,
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4242-3,,37.054056,127.043344,37.054056,127.043344,0.18,고덕 연결녹지_평택시,,0,
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4240-4,,37.05603,127.043386,37.05603,127.043386,0.16,고덕 연결녹지_평택시,,0,
고덕 연결녹지,경기도,평택시,경기도 평택시 고덕면 여염리 4238-3,,37.055323,127.046262,37.055323,127.046262,0.01,고덕 연결녹지_평택시,,0,
삼남로,경기도,평택시,경기도 평택시 도일동 990-13,,37.044473,127.099346,37.037323,127.097531,0.87,삼남로_평택시,,0,
추팔산단로,경기도,평택시,경기도 평택시 팽성읍 남산리 77-1,,36.96337072,127.0693972,36.959248,127.073994,0.82,추팔산단로_평택시,,0,
진위2일반 산업단지,경기도,평택시,경기도 평택시 진위면 갈곶리 739,경기도 평택시 진위면 진위2산단로 56,37.1212808,127.071689,37.11833168,127.0833639,0.86,진위2일반 산업단지_평택시,,0,
진위산단로,경기도,평택시,경기도 평택시 진위면 갈곶리 71-5,,37.11945,127.082177,37.12580103,127.083755,0.87,진위산단로_평택시,,0,
엘지로,경기도,평택시,경기도 오산시 갈곶동 398-4,,37.125809,127.079411,37.12555527,127.082509,0.28,엘지로_평택시,,0,
추담로,경기도,평택시,경기도 평택시 이충동 149-8,,37.057487,127.072613,37.053354,127.0744145,0.56,추담로_평택시,,0,
안청로,경기도,평택시,경기도 평택시 청북읍 옥길리 377-4,,37.02322557,126.9063557,37.025439,126.900925,0.6,안청로_평택시,,0,
안청로,경기도,평택시,경기도 평택시 청북읍 옥길리 150-186,,37.034175,126.907273,37.033553,126.9081998,0.07,안청로_평택시,,0,
안성천,경기도,평택시,경기도 평택시 오성면 창내리 17-19,,36.986272,127.0343813,36.984838,127.013241,2.7,안성천_평택시,,0,
경기대로,경기도,평택시,경기도 평택시 진위면 하북리 137-1,,37.111173,127.062992,37.10952933,127.0634969,0.1,경기대로_평택시,,0,
경기대로,경기도,평택시,경기도 평택시 진위면 가곡리 산103,,37.11761104,127.0642353,37.10952933,127.0634969,0.78,경기대로_평택시,,0,
가곡길,경기도,평택시,경기도 평택시 진위면 가곡리 산103,,37.11761104,127.0642353,37.116971,127.071574,0.74,가곡길_평택시,,0,
진위2일반 산업단지,경기도,평택시,경기도 평택시 진위면 가곡리 217-2,경기도 평택시 진위면 가곡5길 45,37.115424,127.077781,37.11724507,127.0787994,0.4,진위2일반 산업단지_평택시,,0,
경기대로,경기도,평택시,경기도 평택시 세교동 400-39,,37.01089819,127.072779,37.019204,127.072223,0.92,경기대로_평택시,,0,
칠괴길,경기도,평택시,경기도 평택시 지제동 601,,37.02032453,127.0721182,37.022959,127.075291,0.56,칠괴길_평택시,,0,
칠괴길,경기도,평택시,경기도 평택시 지제동 580-3,,37.02376532,127.076078,37.025343,127.075925,0.2,칠괴길_평택시,,0,
칠괴길,경기도,평택시,경기도 평택시 지제동 572-4,,37.025652,127.075123,37.025727,127.073245,0.19,칠괴길_평택시,,0,
경기대로,경기도,평택시,경기도 평택시 모곡동 316-6,,37.027205,127.07089,37.0225533,127.071295,0.49,경기대로_평택시,,0,
송탄공원로,경기도,평택시,경기도 평택시 지산동 산 159,,37.07899561,127.065693,37.078628,127.0633844,0.14,송탄공원로_평택시,,0,
송탄공원로,경기도,평택시,경기도 평택시 지산동 684-15,,37.07640159,127.0606324,37.078628,127.0633844,0.35,송탄공원로_평택시,,0,
경기대로,경기도,평택시,경기도 평택시 지산동 산172-15,,37.075496,127.065129,37.078628,127.0633844,1.04,경기대로_평택시,,0,
송탄공원로,경기도,평택시,경기도 평택시 지산동 705-14,,37.078628,127.0633844,37.07722201,127.060654,0.3,송탄공원로_평택시,,0,
송탄공원로,경기도,평택시,경기도 평택시 지산동 705-14,,37.078628,127.0633844,37.07899561,127.065693,0.14,송탄공원로_평택시,,0,
송탄로,경기도,평택시,경기도 평택시 지산동 775-18,,37.079042,127.057718,37.075235,127.058373,0.46,송탄로_평택시,,0,
송탄로,경기도,평택시,경기도 평택시 서정동 20-57,,37.072346,127.059859,37.075104,127.058858,0.35,송탄로_평택시,,0,
지산로,경기도,평택시,경기도 평택시 지산동 1114,,37.079639,127.0611497,37.079347,127.0589571,0.21,지산로_평택시,,0,
태화로L,울산광역시,중구,,울산광역시 중구 태화동 324,,,,,3.65,태화로L_중구,,0,
번영로R,울산광역시,중구,,울산광역시 중구 옥교동 118-17,,,,,3.02,번영로R_중구,,0,
번영로L,울산광역시,중구,,울산광역시 중구 남외동 546-14,,,,,3.42,번영로L_중구,,0,
장춘로R,울산광역시,중구,,울산광역시 중구 우정동 288-2,,,,,0.58,장춘로R_중구,,0,
성남대로 1416번길,경기도,성남시,,경기도 성남시 수정구 복정동 695,,,,,0.12,성남대로 1416번길_성남시,,0,
성남대로1480번길,경기도,성남시,,경기도 성남시 수정구 복정동 437-6,,,,,0.3,성남대로1480번길_성남시,,0,
성남대로 1542번길,경기도,성남시,,경기도 성남시 수정구 복정동 235-5,,,,,0.32,성남대로 1542번길_성남시,,0,
성남대로 1542번길,경기도,성남시,,경기도 성남시 수정구 복정동 258-6,,,,,0.32,성남대로 1542번길_성남시,,0,
성남대로,경기도,성남시,,경기도 성남시 분당구 서현동 280-1,,,,,13.2,성남대로_성남시,,0,
성남대로,경기도,성남시,,경기도 성남시 분당구 이매동 127-2,,,,,3.76,성남대로_성남시,,0,
성남대로,경기도,성남시,,경기도 성남시 분당구 야탑동 488-2,,,,,1.7,성남대로_성남시,,0,
성남대로(광로3-5),경기도,성남시,,경기도 성남시 분당구 야탑동 488-1,,,,,0.88,성남대로(광로3-5)_성남시,,0,
성남대로,경기도,성남시,,경기도 성남시 분당구 야탑동 487-1,,,,,1.1,성남대로_성남시,,0,
성남대로,경기도,성남시,,경기도 성남시 중원구 여수동 278-3,,,,,1.35,성남대로_성남시,,0,
성남대로,경기도,성남시,,경기도 성남시 중원구 성남동 1576,,,,,1.2,성남대로_성남시,,0,
성남대로,경기도,성남시,,경기도 성남시 수정구 복정동 257-4,,,,,7.5,성남대로_성남시,,0,
원평로,경기도,평택시,경기도 평택시 평택동 84-6,,36.992204,127.082358,36.994377,127.080254,0.29,원평로_평택시,,0,
청원로,경기도,평택시,경기도 평택시 청북읍 현곡리 256-45,,37.040333,126.9353689,37.039498,126.949572,1.26,청원로_평택시,,0,
경기대로,경기도,평택시,경기도 평택시 세교동 400-39,,37.01089819,127.072779,37.005875,127.082475,1.09,경기대로_평택시,,0,
삼남로,경기도,평택시,경기도 평택시 칠괴동 588-2,경기도 평택시 동삭로 455 (칠괴동),37.026487,127.099367,37.028627,127.1000127,0.25,삼남로_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 601,,37.02448449,127.1080336,37.02448449,127.1080336,0.23,신촌지구_평택시,,0,
