start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count
37.61511173,127.0698051,37.6148098051,127.0735263155,2.15,1.5,자전거보행자겸용도로,Y,0,0.0845,2,2,0,29
37.61511173,127.0698051,37.57131973,127.0803241,5.15,1.5,자전거보행자겸용도로,Y,0,0.0974,3,2,0,55
37.61696711,127.0913608,37.6163496296,127.092644,0.52,1.5,자전거전용도로,Y,0,0.0775,4,1,0,14
37.60656359,127.0927248,37.6198943887,127.0837446243,1.77,1.2,자전거전용도로,Y,0,0.0603,7,3,0,40
37.6153857,127.0948865,37.6097690028,127.0989769051,0.42,1.5,자전거보행자겸용도로,Y,0,0.077,3,0,1,20
37.61357623,127.0924085,37.6158126968,127.0937379261,0.74,1.5,자전거보행자겸용도로,Y,0,0.0784,5,1,0,14
37.61531513,127.0898585,37.617008,127.09046,0.15,1.5,자전거전용도로,Y,0,0.0759,5,1,0,17
37.60929753,127.0949042,37.6065635857,127.0927248419,0.46,1.5,자전거전용도로,Y,0,0.0772,4,1,0,16
37.5876269003,127.1421073573,37.5900160078,127.1488741783,0.69,2.5,자전거보행자겸용도로,Y,1,0.1535,1,0,0,0
37.5871885131,127.1482390941,37.5957303394,127.1529799988,1.16,2.0,자전거보행자겸용도로,Y,1,0.1178,3,0,0,0
37.578330612,127.1459871791,37.59411656,127.1506167079,1.71,2.0,자전거보행자겸용도로,Y,1,0.1202,1,0,0,0
37.591763512,127.1501298502,37.5931135014,127.1526990751,0.38,3.0,자전거보행자겸용도로,Y,1,0.1898,2,0,0,0
37.5944413648,127.1548768482,37.5944413648,127.1548768482,0.14,2.0,자전거보행자겸용도로,Y,1,0.1135,2,0,0,0
37.5941197086,127.1516650039,37.5929475588,127.1623431304,1.2,2.0,자전거보행자겸용도로,Y,1,0.118,3,0,0,0
37.5946470061,127.1492945906,37.5936969289,127.1608156212,0.9,2.0,자전거보행자겸용도로,Y,1,0.1167,3,0,0,0
37.5946470061,127.1492945906,37.6003928433,127.1415223903,2.3,1.5,자전거보행자겸용도로,Y,0,0.0851,1,0,0,0
37.597188454,127.1346839725,37.5977596624,127.1430476921,2.2,1.5,자전거보행자겸용도로,Y,0,0.0847,2,0,0,0
37.5885401349,127.1305152051,37.6004269126,127.1304351306,1.44,2.0,자전거보행자겸용도로,Y,1,0.1191,3,0,0,0
37.6005715587,127.1175879975,37.601100943,127.1307276922,1.08,1.5,자전거보행자겸용도로,Y,0,0.0799,4,0,1,0
37.6040048818,127.1328930457,37.6071646472,127.1311330909,0.39,2.0,자전거보행자겸용도로,Y,1,0.1145,2,1,0,0
37.6041192076,127.1478026043,37.6051262115,127.1481807609,0.11,1.2,자전거보행자겸용도로,Y,0,0.0531,1,0,0,0
37.6067856717,127.1455884579,37.6051262115,127.1481807609,0.25,1.2,자전거보행자겸용도로,Y,0,0.0537,1,1,0,0
37.6069667583,127.1392172948,37.6051691854,127.1461815325,0.36,1.2,자전거보행자겸용도로,Y,0,0.0542,1,1,0,0
37.6069667583,127.1392172948,37.6067856717,127.1455884579,1.34,1.2,자전거보행자겸용도로,Y,0,0.0584,1,1,0,0
37.6069667583,127.1392172948,37.6067856717,127.1455884579,1.38,1.2,자전거보행자겸용도로,Y,0,0.0586,1,1,0,0
37.6031821737,127.1426260693,37.6069071821,127.1416371753,1.59,1.2,자전거보행자겸용도로,Y,0,0.0595,1,1,0,0
37.6106308006,127.1380189411,37.6117708872,127.1427419206,0.78,2.5,자전거보행자겸용도로,Y,1,0.1538,2,1,0,0
37.601850403,127.1409636829,37.6106308006,127.1380189411,1.82,1.5,자전거보행자겸용도로,Y,0,0.083,2,1,0,0
37.586503,127.07818,37.5862397132,127.0769835673,0.14,1.5,자전거전용도로,Y,0,0.0758,0,0,0,9
37.586851,127.07959,37.58667402,127.0785847,0.1,1.5,자전거보행자겸용도로,Y,0,0.0757,0,0,0,5
37.60668904,127.1051455,37.6065543615,127.107921489,0.12,1.5,자전거보행자겸용도로,Y,0,0.0757,1,0,1,12
37.61655923,127.1097561,37.6066890426,127.1051454511,0.55,1.5,자전거보행자겸용도로,Y,0,0.0776,1,0,1,19
37.6004198726,127.1302541331,37.5871022602,127.1297375051,1.6,1.5,자전거보행자겸용도로,Y,0,0.0821,3,0,0,0
37.5630049454,127.1199500514,37.5678916549,127.123353756,1.09,4.0,자전거보행자겸용도로,Y,1,0.2681,1,0,0,0
37.5678916549,127.123353756,37.5809121102,127.1605235673,7.62,3.0,자전거보행자겸용도로,Y,1,0.2209,2,0,0,0
37.5809121102,127.1605235673,37.6395696861,127.1488574651,7.4,4.0,자전거보행자겸용도로,Y,1,0.2952,6,1,0,0
37.6452267161,127.1409512005,37.6395696861,127.1488574651,1.22,3.0,자전거보행자겸용도로,Y,1,0.1934,0,1,0,0
37.6239627222,127.1141900636,37.6303610675,127.1191415138,6.17,2.4,자전거보행자겸용도로,Y,1,0.1695,2,0,0,0
37.6380010297,127.1178488245,37.6412721127,127.1253380266,0.7,1.2,자전거보행자겸용도로,Y,0,0.0557,1,0,0,0
37.6435447583,127.1124215945,37.6410698419,127.1259941351,2.7,1.5,자전거보행자겸용도로,Y,0,0.0868,0,0,0,0
37.6275305592,127.1115848441,37.6386668582,127.120360206,4.5,2.0,자전거보행자겸용도로,Y,1,0.1322,2,0,1,0
37.6268638829,127.1149867607,37.6356657438,127.1208929016,2.8,2.0,자전거보행자겸용도로,Y,1,0.1249,2,0,0,0
37.6205593006,127.1062303205,37.6409370998,127.1264320357,6.0,2.0,자전거보행자겸용도로,Y,1,0.1387,2,0,0,3
37.6325634889,127.1378889463,37.6341658223,127.1387884305,0.26,2.0,자전거보행자겸용도로,Y,1,0.114,0,1,0,0
37.6363855391,127.1299982265,37.6384976917,127.1390727114,0.9,2.5,자전거보행자겸용도로,Y,1,0.1544,0,1,0,0
37.6215758833,127.1409039235,37.6379266138,127.139178034,1.96,1.5,자전거보행자겸용도로,Y,0,0.0837,1,1,0,0
37.5789395845,127.1278023584,37.5783762053,127.1326274843,0.59,2.5,자전거보행자겸용도로,Y,1,0.153,1,0,0,0
37.5746241505,127.1322373603,37.5768108165,127.1448958433,1.17,2.5,자전거보행자겸용도로,Y,1,0.1555,1,0,0,0
37.5704821733,127.1203635296,37.5746241505,127.1322373603,1.66,1.2,자전거보행자겸용도로,Y,0,0.0598,0,0,0,0
37.5831275799,127.1243969579,37.5836070156,127.1293666487,0.4,3.0,자전거전용차로,Y,1,0.1898,1,0,0,0
37.5700530273,127.1198407137,37.5871062337,127.130934087,4.5,2.0,자전거보행자겸용도로,Y,1,0.1322,2,0,0,0
37.586563582,127.13462907,37.5856307846,127.1439587708,1.27,3.0,자전거보행자겸용도로,Y,1,0.1936,1,0,0,0
37.5876888313,127.1332970972,37.5857393223,127.1476743265,3.1,1.5,자전거보행자겸용도로,Y,0,0.0886,2,0,0,0
37.5895076019,127.142515966,37.5895076019,127.142515966,1.17,2.0,자전거보행자겸용도로,Y,1,0.1179,2,0,0,0
37.5910028532,127.1451409747,37.5906956454,127.148787554,0.34,3.0,자전거보행자겸용도로,Y,1,0.1896,1,0,0,0
37.02613,127.041108,37.02613,127.041108,0.23,1.8,자전거전용도로,Y,0,0.0988,0,0,0,0
37.03133,127.041167,37.03133,127.041167,0.14,1.8,자전거전용도로,Y,0,0.0984,0,0,0,0
37.029041,127.041173,37.029041,127.041173,0.32,1.8,자전거전용도로,Y,0,0.0992,0,0,0,0
37.028035,127.05383,37.028035,127.05383,0.1,1.8,자전거전용도로,Y,0,0.0982,1,0,0,0
37.029864,127.05383,37.029864,127.05383,0.27,1.8,자전거전용도로,Y,0,0.099,1,0,0,0
37.033086,127.053329,37.033086,127.053329,0.42,1.8,자전거전용도로,Y,0,0.0996,0,0,0,0
